Unnamed: 0,INCIDENT_ID,DATA_YEAR,PUB_AGENCY_NAME,STATE_ABBR,STATE_NAME,POPULATION_GROUP_DESC,INCIDENT_DATE,TOTAL_OFFENDER_COUNT,OFFENDER_RACE,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,SEVERITY
29361,28361,1995,41,NC,North Carolina,"Cities from 25,000 thru 49,999",14-FEB-95,1,5,2,Robbery;Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,6,7,1
29362,28362,1995,41,NC,North Carolina,"Cities from 25,000 thru 49,999",14-FEB-95,1,5,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,6,7,1
29363,28363,1995,41,NC,North Carolina,"Cities from 25,000 thru 49,999",22-MAY-95,1,5,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,16,7,1
29364,28364,1995,41,NC,North Carolina,"Cities from 25,000 thru 49,999",12-JUN-95,4,2,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,40,7,1
29365,28365,1995,41,NC,North Carolina,"Cities from 25,000 thru 49,999",09-JUL-95,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,6,7,0
29366,28366,1995,217,NC,North Carolina,"Cities under 2,500",12-NOV-95,1,5,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,6,7,1
29367,28367,1995,38,NC,North Carolina,"Cities from 50,000 thru 99,999",18-MAY-95,1,5,1,Intimidation,1.0,School/College,6,7,1
29368,28368,1995,38,NC,North Carolina,"Cities from 50,000 thru 99,999",14-AUG-95,0,4,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,6,7,0
29369,28369,1995,38,NC,North Carolina,"Cities from 50,000 thru 99,999",27-SEP-95,2,5,3,Destruction/Damage/Vandalism of Property,3.0,Highway/Road/Alley/Street/Sidewalk,6,7,0
29370,28370,1995,38,NC,North Carolina,"Cities from 50,000 thru 99,999",20-OCT-95,0,4,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,35,15,0
38116,36746,1996,150,NC,North Carolina,"Cities from 10,000 thru 24,999",26-APR-96,4,2,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,40,7,1
