Unnamed: 0,INCIDENT_ID,DATA_YEAR,PUB_AGENCY_NAME,STATE_ABBR,STATE_NAME,POPULATION_GROUP_DESC,INCIDENT_DATE,TOTAL_OFFENDER_COUNT,OFFENDER_RACE,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES
214319,1330412,2020,Durham,NC,North Carolina,"Cities from 250,000 thru 499,999",21-MAR-20,1,White,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,"Anti-Multiple Races, Group",Individual
214320,1330415,2020,Durham,NC,North Carolina,"Cities from 250,000 thru 499,999",01-JAN-20,1,Black or African American,1,Intimidation,1.0,Other/Unknown,Anti-Gay (Male),Individual
214321,1330416,2020,Durham,NC,North Carolina,"Cities from 250,000 thru 499,999",10-FEB-20,1,White,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual
214322,1330423,2020,Durham,NC,North Carolina,"Cities from 250,000 thru 499,999",19-MAR-20,1,Black or African American,2,Simple Assault;Theft From Motor Vehicle,1.0,Convenience Store,Anti-Islamic (Muslim),Individual
214323,1325960,2020,Edgecombe,NC,North Carolina,"MSA counties from 10,000 thru 24,999",27-NOV-20,1,Black or African American,1,Aggravated Assault,1.0,Residence/Home,Anti-White,Individual
214324,1290948,2020,Rocky Mount,NC,North Carolina,"Cities from 50,000 thru 99,999",16-JAN-20,1,White,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Islamic (Muslim),Business
214325,1290958,2020,Forsyth,NC,North Carolina,"MSA counties 100,000 or over",11-DEC-20,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-White,Individual
214326,1290968,2020,Forsyth,NC,North Carolina,"MSA counties 100,000 or over",31-OCT-20,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
214327,1290972,2020,Forsyth,NC,North Carolina,"MSA counties 100,000 or over",21-SEP-20,0,Unknown,1,Aggravated Assault,1.0,Park/Playground,Anti-White,Individual
214328,1290978,2020,Forsyth,NC,North Carolina,"MSA counties 100,000 or over",25-SEP-20,1,White,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual
214329,1290984,2020,Forsyth,NC,North Carolina,"MSA counties 100,000 or over",27-JUL-20,0,Unknown,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual
214330,1290986,2020,Forsyth,NC,North Carolina,"MSA counties 100,000 or over",02-JUN-20,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Jewish,Individual
214331,1252371,2020,Winston-Salem,NC,North Carolina,"Cities from 250,000 thru 499,999",18-FEB-20,0,Unknown,1,Theft From Motor Vehicle,1.0,Residence/Home,Anti-White,Individual
214332,1252374,2020,Winston-Salem,NC,North Carolina,"Cities from 250,000 thru 499,999",23-FEB-20,1,White,1,Simple Assault,1.0,Residence/Home,Anti-Gay (Male),Individual
214333,1252375,2020,Winston-Salem,NC,North Carolina,"Cities from 250,000 thru 499,999",20-FEB-20,0,Unknown,2,Intimidation,2.0,Air/Bus/Train Terminal,Anti-Black or African American,Individual
214334,1275905,2020,Franklin,NC,North Carolina,"MSA counties from 25,000 thru 99,999",07-OCT-20,0,Unknown,1,Hacking/Computer Invasion,1.0,Residence/Home,Anti-Black or African American,Individual
214335,1267168,2020,Belmont,NC,North Carolina,"Cities from 10,000 thru 24,999",10-DEC-20,1,White,1,Weapon Law Violations,0.0,Residence/Home,"Anti-Multiple Races, Group",Society/Public
214336,1275906,2020,Bessemer City,NC,North Carolina,"Cities from 2,500 thru 9,999",02-NOV-20,1,Black or African American,1,Stolen Property Offenses,1.0,Residence/Home,"Anti-Eastern Orthodox (Russian, Greek, Other)",Individual
214337,1299858,2020,Dallas,NC,North Carolina,"Cities from 2,500 thru 9,999",14-AUG-20,1,White,1,Drug/Narcotic Violations,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-American Indian or Alaska Native,Society/Public
214338,1330464,2020,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",30-JUL-20,1,White,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
214339,1330465,2020,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",14-FEB-20,1,White,1,Intimidation,1.0,School-Elementary/Secondary,Anti-Black or African American,Individual
214340,1330472,2020,Gastonia,NC,North Carolina,"Cities from 50,000 thru 99,999",21-NOV-20,0,Unknown,1,Intimidation,1.0,Bank/Savings and Loan,Anti-Black or African American,Individual
214341,1330483,2020,Mount Holly,NC,North Carolina,"Cities from 10,000 thru 24,999",06-JUN-20,1,Black or African American,1,Aggravated Assault,1.0,Residence/Home,"Anti-Eastern Orthodox (Russian, Greek, Other)",Individual
214342,1267174,2020,Oxford,NC,North Carolina,"Cities from 2,500 thru 9,999",17-JUL-20,2,White,1,Simple Assault,2.0,Service/Gas Station,Anti-Black or African American,Individual
214343,1267176,2020,Creedmoor,NC,North Carolina,"Cities from 2,500 thru 9,999",21-JUL-20,0,Unknown,3,Destruction/Damage/Vandalism of Property;Intimidation,2.0,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Business;Individual
214344,1267178,2020,Creedmoor,NC,North Carolina,"Cities from 2,500 thru 9,999",17-JUL-20,1,White,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
214345,1123931,2020,Greene,NC,North Carolina,"Non-MSA counties from 10,000 thru 24,999",14-JUN-20,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Sikh,Individual
214346,1275918,2020,Greene,NC,North Carolina,"Non-MSA counties from 10,000 thru 24,999",21-JUL-20,2,White,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Christian,Religious Organization
214347,1286679,2020,Guilford,NC,North Carolina,"MSA counties 100,000 or over",10-FEB-20,1,Black or African American,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
214348,1286704,2020,Guilford,NC,North Carolina,"MSA counties 100,000 or over",10-JUN-20,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Field/Woods,Anti-Black or African American,Business
