Unnamed: 0,INCIDENT_ID,DATA_YEAR,PUB_AGENCY_NAME,STATE_ABBR,STATE_NAME,POPULATION_GROUP_DESC,INCIDENT_DATE,TOTAL_OFFENDER_COUNT,OFFENDER_RACE,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES
110597,109538,2005,Reidsville,NC,North Carolina,"Cities from 10,000 thru 24,999",03-MAR-05,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Other
110598,109539,2005,Salisbury,NC,North Carolina,"Cities from 25,000 thru 49,999",19-MAY-05,1,Black or African American,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Other Race/Ethnicity/Ancestry,Individual
110599,109540,2005,Salisbury,NC,North Carolina,"Cities from 25,000 thru 49,999",09-OCT-05,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
110600,109541,2005,Salisbury,NC,North Carolina,"Cities from 25,000 thru 49,999",17-OCT-05,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Government
110601,109542,2005,Rutherford,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",20-APR-05,2,White,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual
110602,109497,2005,Mount Airy,NC,North Carolina,"Cities from 2,500 thru 9,999",14-MAY-05,4,White,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
110603,109498,2005,Mount Airy,NC,North Carolina,"Cities from 2,500 thru 9,999",09-APR-05,1,White,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
110604,109543,2005,Mount Airy,NC,North Carolina,"Cities from 2,500 thru 9,999",11-JUN-05,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization
110605,109544,2005,Mount Airy,NC,North Carolina,"Cities from 2,500 thru 9,999",21-DEC-05,8,Black or African American,1,Simple Assault,1.0,School/College,"Anti-Multiple Races, Group",Individual
110606,109499,2005,Bryson City,NC,North Carolina,"Cities under 2,500",01-APR-05,1,White,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual
110607,109545,2005,Transylvania,NC,North Carolina,"Non-MSA counties from 10,000 thru 24,999",15-JAN-05,1,White,1,Intimidation,1.0,School/College,Anti-Asian,Individual
110608,109500,2005,Wake,NC,North Carolina,"MSA counties 100,000 or over",03-DEC-05,20,White,6,Intimidation,6.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
110609,109501,2005,Wake,NC,North Carolina,"MSA counties 100,000 or over",25-AUG-05,18,Unknown,4,Destruction/Damage/Vandalism of Property,4.0,School/College,Anti-Black or African American,Individual
110610,109546,2005,Wake,NC,North Carolina,"MSA counties 100,000 or over",25-MAR-05,1,Black or African American,1,Simple Assault,1.0,Government/Public Building,"Anti-Multiple Races, Group",Individual
110611,109502,2005,Raleigh,NC,North Carolina,"Cities from 250,000 thru 499,999",18-JUN-05,1,Unknown,1,Intimidation,1.0,Specialty Store,Anti-Black or African American,Individual
110612,109503,2005,Raleigh,NC,North Carolina,"Cities from 250,000 thru 499,999",02-JUN-05,1,White,2,Intimidation,2.0,Restaurant,Anti-Black or African American,Individual
110613,109504,2005,Raleigh,NC,North Carolina,"Cities from 250,000 thru 499,999",02-APR-05,0,Unknown,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
110614,109547,2005,Raleigh,NC,North Carolina,"Cities from 250,000 thru 499,999",05-JUN-05,0,Unknown,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual
110615,109548,2005,Raleigh,NC,North Carolina,"Cities from 250,000 thru 499,999",02-JUN-05,1,Unknown,1,Intimidation,1.0,Residence/Home,Anti-White,Individual
110616,109549,2005,Raleigh,NC,North Carolina,"Cities from 250,000 thru 499,999",01-NOV-05,0,Unknown,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,Anti-Jewish,Individual
110617,111808,2005,Raleigh,NC,North Carolina,"Cities from 250,000 thru 499,999",16-DEC-05,0,Unknown,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual
110618,111809,2005,Raleigh,NC,North Carolina,"Cities from 250,000 thru 499,999",19-DEC-05,1,White,1,Intimidation,1.0,Church/Synagogue/Temple/Mosque,Anti-Other Race/Ethnicity/Ancestry,Individual
110619,109550,2005,Blowing Rock,NC,North Carolina,"Cities under 2,500",25-AUG-05,4,White,3,Destruction/Damage/Vandalism of Property,3.0,Grocery/Supermarket,Anti-Black or African American,Individual
110620,109551,2005,Wilson,NC,North Carolina,"Cities from 25,000 thru 49,999",25-OCT-05,1,Black or African American,1,Aggravated Assault,1.0,Residence/Home,Anti-Gay (Male),Individual
117789,116890,2006,Beaufort,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",11-AUG-06,1,White,2,Intimidation,2.0,Commercial/Office Building,Anti-Black or African American,Individual
117790,116891,2006,Asheville,NC,North Carolina,"Cities from 50,000 thru 99,999",03-NOV-06,1,White,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
117791,116892,2006,Asheville,NC,North Carolina,"Cities from 50,000 thru 99,999",14-MAR-06,1,White,1,Simple Assault,1.0,Residence/Home,Anti-Gay (Male),Individual
117792,116893,2006,Asheville,NC,North Carolina,"Cities from 50,000 thru 99,999",02-OCT-06,1,White,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual
117793,116894,2006,Morganton,NC,North Carolina,"Cities from 10,000 thru 24,999",13-MAY-06,1,White,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
117794,116895,2006,Morganton,NC,North Carolina,"Cities from 10,000 thru 24,999",24-JUL-06,2,White,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
117795,116896,2006,Caldwell,NC,North Carolina,"MSA counties from 25,000 thru 99,999",17-OCT-06,1,White,1,Intimidation,1.0,Residence/Home,"Anti-Multiple Races, Group",Individual
117796,116897,2006,Lenoir,NC,North Carolina,"Cities from 10,000 thru 24,999",18-APR-06,1,Black or African American,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Hispanic or Latino,Individual
117797,116898,2006,Long View,NC,North Carolina,"Cities from 2,500 thru 9,999",26-FEB-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
117798,116899,2006,Cumberland,NC,North Carolina,"MSA counties 100,000 or over",09-MAY-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
117799,116900,2006,Cumberland,NC,North Carolina,"MSA counties 100,000 or over",17-MAY-06,3,Black or African American,4,Robbery;Simple Assault,2.0,Parking/Drop Lot/Garage;School/College,Anti-White,Individual;Other
117800,116901,2006,Cumberland,NC,North Carolina,"MSA counties 100,000 or over",12-SEP-06,4,Black or African American,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual
117801,116902,2006,Cumberland,NC,North Carolina,"MSA counties 100,000 or over",24-NOV-06,0,Unknown,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual
117802,116903,2006,Cumberland,NC,North Carolina,"MSA counties 100,000 or over",14-DEC-06,1,White,1,Intimidation,1.0,Air/Bus/Train Terminal,Anti-Black or African American,Individual
117803,116904,2006,Lexington,NC,North Carolina,"Cities from 10,000 thru 24,999",14-AUG-06,4,Black or African American,2,Aggravated Assault;Burglary/Breaking & Entering,1.0,Residence/Home,Anti-Gay (Male),Individual;Other
117804,116905,2006,Lexington,NC,North Carolina,"Cities from 10,000 thru 24,999",19-AUG-06,1,White,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
117805,116906,2006,Thomasville,NC,North Carolina,"Cities from 25,000 thru 49,999",07-FEB-06,0,Unknown,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
117806,116907,2006,Thomasville,NC,North Carolina,"Cities from 25,000 thru 49,999",26-APR-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Religious Organization
117807,116908,2006,Durham,NC,North Carolina,"Cities from 100,000 thru 249,999",25-APR-06,0,Unknown,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual
117808,116909,2006,Durham,NC,North Carolina,"Cities from 100,000 thru 249,999",03-MAY-06,1,White,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual
117809,116910,2006,Durham,NC,North Carolina,"Cities from 100,000 thru 249,999",29-MAY-06,1,White,3,Destruction/Damage/Vandalism of Property,3.0,Highway/Road/Alley/Street/Sidewalk,"Anti-Multiple Races, Group",Individual
117810,116911,2006,Durham,NC,North Carolina,"Cities from 100,000 thru 249,999",15-AUG-06,0,Unknown,1,Simple Assault,1.0,Residence/Home,Anti-Gay (Male),Individual
117811,116912,2006,Durham,NC,North Carolina,"Cities from 100,000 thru 249,999",24-AUG-06,0,Unknown,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual
117812,116913,2006,Durham,NC,North Carolina,"Cities from 100,000 thru 249,999",10-OCT-06,1,White,10,Intimidation,10.0,Residence/Home,"Anti-Multiple Races, Group",Individual
117813,116914,2006,Durham,NC,North Carolina,"Cities from 100,000 thru 249,999",12-OCT-06,1,White,1,Intimidation,1.0,Residence/Home,"Anti-Multiple Races, Group",Individual
117814,116915,2006,Durham,NC,North Carolina,"Cities from 100,000 thru 249,999",13-NOV-06,1,White,2,Simple Assault,2.0,Residence/Home,Anti-Black or African American,Individual
117815,116916,2006,Durham,NC,North Carolina,"Cities from 100,000 thru 249,999",28-NOV-06,1,White,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual
117816,116917,2006,Durham,NC,North Carolina,"Cities from 100,000 thru 249,999",30-NOV-06,2,Asian,4,Robbery,4.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
117817,116918,2006,Kernersville,NC,North Carolina,"Cities from 10,000 thru 24,999",07-DEC-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,"Anti-Multiple Races, Group",Business
117818,116919,2006,Cherryville,NC,North Carolina,"Cities from 2,500 thru 9,999",08-SEP-06,1,White,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual;Other
117819,116920,2006,Cherryville,NC,North Carolina,"Cities from 2,500 thru 9,999",18-OCT-06,1,White,4,Destruction/Damage/Vandalism of Property;Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual;Other
117820,116921,2006,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",14-AUG-06,1,White,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
117821,116922,2006,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",14-SEP-06,1,White,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
117822,116923,2006,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",06-DEC-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Government
117823,116924,2006,Gaston County Police Department,NC,North Carolina,"MSA counties from 25,000 thru 99,999",11-DEC-06,1,White,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
117824,116925,2006,Gastonia,NC,North Carolina,"Cities from 50,000 thru 99,999",02-JUN-06,4,White,2,Burglary/Breaking & Entering;Not Specified,0.0,Church/Synagogue/Temple/Mosque,Anti-Catholic,Religious Organization
117825,116926,2006,Gastonia,NC,North Carolina,"Cities from 50,000 thru 99,999",16-AUG-06,1,White,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual
117826,116927,2006,Guilford,NC,North Carolina,"MSA counties 100,000 or over",05-MAY-06,1,White,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual
117827,116928,2006,Guilford,NC,North Carolina,"MSA counties 100,000 or over",06-FEB-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-White,Other
117828,116929,2006,Guilford,NC,North Carolina,"MSA counties 100,000 or over",12-DEC-06,1,White,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Black or African American,Individual
117829,116930,2006,Guilford,NC,North Carolina,"MSA counties 100,000 or over",13-DEC-06,1,White,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual
117830,116931,2006,High Point,NC,North Carolina,"Cities from 50,000 thru 99,999",31-JAN-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Gay (Male),Individual
117831,116932,2006,High Point,NC,North Carolina,"Cities from 50,000 thru 99,999",07-MAY-06,1,White,2,Aggravated Assault,2.0,Parking/Drop Lot/Garage,Anti-Asian,Individual
117832,116933,2006,University of North Carolina:,NC,North Carolina,"Cities under 2,500",23-MAR-06,1,Black or African American,2,Destruction/Damage/Vandalism of Property,1.0,School/College,Anti-Black or African American,Government;Individual
117833,116934,2006,University of North Carolina:,NC,North Carolina,"Cities under 2,500",13-NOV-06,0,Unknown,1,Intimidation,1.0,School/College,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual
117834,116935,2006,Harnett,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",08-JAN-06,1,White,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
117835,116875,2006,Dunn,NC,North Carolina,"Cities from 10,000 thru 24,999",27-MAR-06,0,Unknown,1,Burglary/Breaking & Entering,1.0,Residence/Home,Anti-Black or African American,Individual
117836,116936,2006,Iredell,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",12-SEP-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
117837,116937,2006,Iredell,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",12-SEP-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
117838,116938,2006,Iredell,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",12-SEP-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
117839,116939,2006,Iredell,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",12-SEP-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
117840,116940,2006,Iredell,NC,North Carolina,"Non-MSA counties from 25,000 thru 99,999",13-SEP-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
117841,116941,2006,Statesville,NC,North Carolina,"Cities from 25,000 thru 49,999",08-SEP-06,1,White,1,Intimidation,1.0,Convenience Store,Anti-Black or African American,Individual
117842,116942,2006,Western Carolina University,NC,North Carolina,"Cities under 2,500",23-SEP-06,2,White,2,Intimidation,2.0,School/College,Anti-Gay (Male),Individual
117843,116943,2006,Johnston,NC,North Carolina,"MSA counties 100,000 or over",10-JUN-06,2,White,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
117844,116944,2006,Johnston,NC,North Carolina,"MSA counties 100,000 or over",02-JUL-06,1,White,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Gay (Male),Individual
117845,116945,2006,Smithfield,NC,North Carolina,"Cities from 10,000 thru 24,999",14-AUG-06,2,White,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
117846,116946,2006,Charlotte-Mecklenburg,NC,North Carolina,"Cities from 500,000 thru 999,999",06-APR-06,1,White,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
117847,116947,2006,Charlotte-Mecklenburg,NC,North Carolina,"Cities from 500,000 thru 999,999",12-JUL-06,4,Black or African American,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual
117848,116948,2006,Charlotte-Mecklenburg,NC,North Carolina,"Cities from 500,000 thru 999,999",24-JUL-06,1,White,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
117849,116949,2006,Charlotte-Mecklenburg,NC,North Carolina,"Cities from 500,000 thru 999,999",30-JUL-06,2,White,1,Simple Assault,1.0,Bar/Nightclub,Anti-Black or African American,Individual
117850,116950,2006,Charlotte-Mecklenburg,NC,North Carolina,"Cities from 500,000 thru 999,999",27-AUG-06,2,Multiple,2,Aggravated Assault;Simple Assault,2.0,Residence/Home,Anti-Gay (Male),Individual
117851,116951,2006,Charlotte-Mecklenburg,NC,North Carolina,"Cities from 500,000 thru 999,999",01-SEP-06,1,White,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual
117852,116952,2006,Charlotte-Mecklenburg,NC,North Carolina,"Cities from 500,000 thru 999,999",01-OCT-06,1,White,1,Simple Assault,1.0,Bar/Nightclub,Anti-Other Race/Ethnicity/Ancestry,Individual
117853,116953,2006,Charlotte-Mecklenburg,NC,North Carolina,"Cities from 500,000 thru 999,999",05-OCT-06,1,White,1,Simple Assault,1.0,Bar/Nightclub,Anti-Asian,Individual
117854,116954,2006,Charlotte-Mecklenburg,NC,North Carolina,"Cities from 500,000 thru 999,999",06-DEC-06,0,Unknown,1,Intimidation,1.0,Restaurant,Anti-Jewish,Individual
117855,116955,2006,Charlotte-Mecklenburg,NC,North Carolina,"Cities from 500,000 thru 999,999",14-DEC-06,1,Black or African American,1,Intimidation,1.0,Residence/Home,Anti-Jewish,Individual
117856,116956,2006,Charlotte-Mecklenburg,NC,North Carolina,"Cities from 500,000 thru 999,999",18-JUN-06,1,White,2,Destruction/Damage/Vandalism of Property;Intimidation,2.0,Convenience Store,Anti-Hispanic or Latino,Individual
117857,116957,2006,Matthews,NC,North Carolina,"Cities from 25,000 thru 49,999",01-MAY-06,1,Black or African American,2,Aggravated Assault,2.0,Parking/Drop Lot/Garage,Anti-White,Individual
117858,116958,2006,Matthews,NC,North Carolina,"Cities from 25,000 thru 49,999",19-MAY-06,0,Unknown,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual
117859,116959,2006,Matthews,NC,North Carolina,"Cities from 25,000 thru 49,999",13-AUG-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual
117860,116960,2006,Middlesex,NC,North Carolina,"Cities under 2,500",06-JUN-06,0,Unknown,3,Intimidation,3.0,Residence/Home,Anti-Black or African American,Individual
117861,116961,2006,Chapel Hill,NC,North Carolina,"Cities from 50,000 thru 99,999",29-APR-06,1,Black or African American,3,Simple Assault,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
117862,116962,2006,Chapel Hill,NC,North Carolina,"Cities from 50,000 thru 99,999",26-OCT-06,1,Black or African American,2,Intimidation,2.0,Commercial/Office Building,Anti-White,Individual
117863,116963,2006,University of North Carolina:,NC,North Carolina,"Cities under 2,500",03-MAR-06,1,Asian,9,Aggravated Assault,9.0,School/College,"Anti-Multiple Religions, Group",Individual
117864,116964,2006,Pasquotank,NC,North Carolina,"Non-MSA counties from 10,000 thru 24,999",01-OCT-06,1,Black or African American,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual
117865,116965,2006,Roxboro,NC,North Carolina,"Cities from 2,500 thru 9,999",04-AUG-06,1,White,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
117866,116966,2006,Pitt,NC,North Carolina,"MSA counties from 25,000 thru 99,999",15-FEB-06,1,White,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-White,Government
117867,116967,2006,Pitt,NC,North Carolina,"MSA counties from 25,000 thru 99,999",15-APR-06,1,White,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
117868,116968,2006,Pitt,NC,North Carolina,"MSA counties from 25,000 thru 99,999",13-JUL-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Asian,Unknown
117869,116969,2006,Pitt,NC,North Carolina,"MSA counties from 25,000 thru 99,999",09-SEP-06,1,Black or African American,2,Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
117870,116970,2006,Pitt,NC,North Carolina,"MSA counties from 25,000 thru 99,999",15-DEC-06,1,Black or African American,1,Simple Assault,1.0,Residence/Home,Anti-White,Individual
117871,116971,2006,Asheboro,NC,North Carolina,"Cities from 10,000 thru 24,999",30-SEP-06,0,Unknown,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
117872,116876,2006,Reidsville,NC,North Carolina,"Cities from 10,000 thru 24,999",16-APR-06,1,White,2,Destruction/Damage/Vandalism of Property,2.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual
117873,116972,2006,Reidsville,NC,North Carolina,"Cities from 10,000 thru 24,999",31-JAN-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Hispanic or Latino,Other
117874,116973,2006,Reidsville,NC,North Carolina,"Cities from 10,000 thru 24,999",06-FEB-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Hispanic or Latino,Other
117875,116974,2006,Reidsville,NC,North Carolina,"Cities from 10,000 thru 24,999",16-FEB-06,1,White,1,Simple Assault,1.0,School/College,Anti-Black or African American,Individual
117876,116975,2006,Reidsville,NC,North Carolina,"Cities from 10,000 thru 24,999",22-MAR-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,School/College,"Anti-Multiple Races, Group",Other
117877,116976,2006,Reidsville,NC,North Carolina,"Cities from 10,000 thru 24,999",29-MAR-06,2,White,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Other
117878,116977,2006,Salisbury,NC,North Carolina,"Cities from 25,000 thru 49,999",12-JAN-06,1,Black or African American,1,Burglary/Breaking & Entering,0.0,Other/Unknown,Anti-White,Other
117879,116877,2006,Albemarle,NC,North Carolina,"Cities from 10,000 thru 24,999",24-APR-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,"Anti-Multiple Races, Group",Business
117880,116878,2006,Mount Airy,NC,North Carolina,"Cities from 2,500 thru 9,999",11-JUL-06,1,White,1,Destruction/Damage/Vandalism of Property,1.0,Other/Unknown,Anti-Black or African American,Individual
117881,116879,2006,Mount Airy,NC,North Carolina,"Cities from 2,500 thru 9,999",27-NOV-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual
117882,116978,2006,Mount Airy,NC,North Carolina,"Cities from 2,500 thru 9,999",22-JAN-06,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,Anti-Hispanic or Latino,Individual
117883,116979,2006,Wake,NC,North Carolina,"MSA counties 100,000 or over",18-OCT-06,1,White,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual
117884,116880,2006,Raleigh,NC,North Carolina,"Cities from 250,000 thru 499,999",20-JAN-06,1,White,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
117885,116881,2006,Raleigh,NC,North Carolina,"Cities from 250,000 thru 499,999",09-DEC-06,1,White,1,Destruction/Damage/Vandalism of Property,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual
117886,116980,2006,Raleigh,NC,North Carolina,"Cities from 250,000 thru 499,999",28-FEB-06,1,White,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual
117887,116882,2006,Cary,NC,North Carolina,"Cities from 100,000 thru 249,999",10-DEC-06,0,Unknown,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-Islamic (Muslim),Individual
117888,116981,2006,Cary,NC,North Carolina,"Cities from 100,000 thru 249,999",13-JUL-06,3,White,1,Simple Assault,1.0,Lake/Waterway/Beach,Anti-Black or African American,Individual
125495,124415,2007,Washington,NC,North Carolina,"Cities from 10,000 thru 24,999",19-MAR-07,1,Black or African American,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual
125496,124416,2007,Concord,NC,North Carolina,"Cities from 50,000 thru 99,999",20-JUL-07,3,White,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual
125497,124417,2007,Concord,NC,North Carolina,"Cities from 50,000 thru 99,999",20-JUN-07,3,White,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual
125498,124418,2007,Caswell,NC,North Carolina,"Non-MSA counties from 10,000 thru 24,999",11-NOV-07,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Protestant,Religious Organization
125499,124419,2007,Catawba,NC,North Carolina,"MSA counties from 25,000 thru 99,999",27-MAR-07,1,Black or African American,3,Destruction/Damage/Vandalism of Property;Intimidation;Simple Assault,3.0,Residence/Home,Anti-Hispanic or Latino,Individual
125500,124420,2007,Hickory,NC,North Carolina,"Cities from 25,000 thru 49,999",09-JAN-07,1,White,1,Destruction/Damage/Vandalism of Property,0.0,Government/Public Building,Anti-Black or African American,Government
125501,124421,2007,Chatham,NC,North Carolina,"MSA counties from 25,000 thru 99,999",29-APR-07,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Other
125502,124422,2007,Chatham,NC,North Carolina,"MSA counties from 25,000 thru 99,999",11-AUG-07,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Other
125503,124423,2007,Chatham,NC,North Carolina,"MSA counties from 25,000 thru 99,999",30-AUG-07,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Other
125504,124424,2007,Chatham,NC,North Carolina,"MSA counties from 25,000 thru 99,999",01-DEC-07,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Other
125505,124425,2007,Siler City,NC,North Carolina,"Cities from 2,500 thru 9,999",23-MAY-07,0,Unknown,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-White,Other
125506,124426,2007,Cumberland,NC,North Carolina,"MSA counties 100,000 or over",15-JUN-07,0,Unknown,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual
125507,124427,2007,Currituck,NC,North Carolina,"MSA counties from 10,000 thru 24,999",11-AUG-07,0,Unknown,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Hispanic or Latino,Individual
125508,124428,2007,Currituck,NC,North Carolina,"MSA counties from 10,000 thru 24,999",02-SEP-07,0,Unknown,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Lesbian (Female),Individual
125509,124429,2007,Lexington,NC,North Carolina,"Cities from 10,000 thru 24,999",23-FEB-07,1,Black or African American,2,Aggravated Assault,2.0,Residence/Home,Anti-Hispanic or Latino,Individual
125510,124430,2007,Lexington,NC,North Carolina,"Cities from 10,000 thru 24,999",14-JUN-07,3,Multiple,1,Aggravated Assault,1.0,Residence/Home,Anti-Hispanic or Latino,Individual
